State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) ",total spending
25,04/28/2020,-25.8,-58.6,-72.1,-23.5,18.4,-54.8,-79.4,1.89,-14.2,-282.31
34,04/28/2020,-22.3,-61.0,-62.7,-27.9,29.5,-54.8,-75.2,2.68,-16.9,-266.31999999999994
36,04/28/2020,-23.7,-61.0,-76.6,-29.5,21.0,-59.7,-81.3,-0.207,-16.6,-303.90700000000004
44,04/28/2020,-23.2,-61.8,-68.8,-28.3,6.39,-70.9,-72.5,-2.72,-10.3,-308.93000000000006
9,04/29/2020,-29.4,-65.2,-68.6,-32.5,23.6,-63.8,-82.7,-5.19,-22.0,-316.39
25,04/29/2020,-25.3,-58.0,-70.8,-21.0,20.0,-58.7,-79.0,4.23,-11.0,-274.27
34,04/29/2020,-22.1,-60.4,-61.3,-25.8,28.3,-55.8,-75.4,3.26,-15.5,-262.64
36,04/29/2020,-22.7,-60.4,-75.7,-27.7,21.5,-57.9,-80.8,1.25,-14.6,-294.35
44,04/29/2020,-23.8,-62.3,-69.6,-24.2,1.59,-71.2,-72.1,-6.75,-13.9,-318.4599999999999
9,04/30/2020,-28.2,-65.2,-64.8,-29.3,26.0,-61.6,-81.1,-2.4,-19.4,-297.79999999999995
25,04/30/2020,-24.0,-57.6,-72.3,-19.8,21.6,-61.2,-80.1,5.1,-10.9,-275.19999999999993
34,04/30/2020,-21.1,-59.1,-59.8,-24.4,27.7,-54.7,-74.5,4.24,-13.5,-254.06
36,04/30/2020,-22.0,-59.6,-74.1,-25.7,21.3,-57.7,-79.3,1.89,-13.5,-286.71
44,04/30/2020,-22.7,-62.9,-70.2,-23.8,4.81,-71.6,-71.9,-0.161,-4.23,-299.98100000000005
9,05/01/2020,-27.8,-64.9,-63.9,-27.5,28.1,-56.5,-79.1,-0.586,-17.8,-282.18600000000004
25,05/01/2020,-22.5,-56.8,-71.8,-16.4,22.9,-57.6,-79.5,8.64,-5.21,-255.77
34,05/01/2020,-19.4,-57.4,-64.0,-21.2,29.3,-54.7,-73.0,7.74,-8.97,-242.23
36,05/01/2020,-20.5,-58.2,-74.6,-22.5,23.5,-57.9,-77.4,4.82,-10.0,-272.28000000000003
44,05/01/2020,-21.0,-62.8,-70.7,-23.4,6.83,-71.9,-65.7,-0.733,-7.72,-296.12300000000005
9,05/02/2020,-26.3,-64.8,-65.0,-26.4,29.6,-57.8,-76.5,3.21,-13.0,-270.69000000000005
25,05/02/2020,-21.7,-58.7,-69.9,-15.0,25.3,-58.4,-78.5,11.1,-2.7,-246.8
34,05/02/2020,-18.7,-55.8,-62.4,-19.9,29.6,-54.6,-71.9,9.09,-6.9,-232.81
36,05/02/2020,-19.2,-57.1,-74.1,-20.4,25.0,-58.3,-77.0,7.72,-6.25,-260.42999999999995
44,05/02/2020,-18.9,-63.5,-71.5,-21.5,13.5,-72.3,-60.8,2.88,-6.77,-279.99
9,05/03/2020,-24.6,-64.0,-60.7,-24.4,32.2,-56.2,-76.1,6.08,-9.83,-252.95
25,05/03/2020,-21.8,-59.1,-69.7,-15.8,27.1,-58.5,-75.4,12.1,-2.18,-241.48000000000005
34,05/03/2020,-17.5,-54.3,-61.7,-19.5,29.8,-55.9,-69.9,10.7,-4.32,-225.12
36,05/03/2020,-17.9,-56.2,-74.1,-19.3,25.5,-59.1,-75.5,9.35,-3.76,-253.11000000000004
